adjusted_appropriation,fund_no,dept_no,activity_code,object_code,sub_object_code,account_description,department
100000,1000,250,419000,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
75000,1000,250,419000,350,419,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
427416.15,1000,250,419000,390,419,OTHER PURCHASED SERVICES,"Community Planning, Development, & Innovation"
10400,1000,250,419000,940,000,MACHINERY & EQUIPMENT,"Community Planning, Development, & Innovation"
35000,1000,250,440191,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
368845,1000,250,450000,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
200229,1000,250,450131,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
63323,1000,250,450131,110,419,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
86377.63,1000,250,450131,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
29268,1000,250,450131,140,419,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
137,1000,250,450131,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
4000,1000,250,450131,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
500,1000,250,450131,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
300,1000,250,450131,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
2000,1000,250,450131,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
25155,1000,250,450131,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
2853.87,1000,250,450131,370,000,TRAVEL,"Community Planning, Development, & Innovation"
3500,1000,250,450131,380,000,TRAINING,"Community Planning, Development, & Innovation"
255091.39,1000,250,450131,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
241881,1000,250,450500,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
70000,1000,250,459000,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
804345,1000,250,459000,700,419,OPERATION SHELTER,"Community Planning, Development, & Innovation"
202350,1000,250,460300,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
2500,1000,250,460434,360,000,REPAIR & MAINTENANCE,"Community Planning, Development, & Innovation"
12000,1000,250,460453,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
66936,1000,250,460460,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
25813,1000,250,460460,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
64,1000,250,460460,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
100,1000,250,460460,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
1300,1000,250,460460,220,000,OPERATING SUPPLIES,"Community Planning, Development, & Innovation"
25,1000,250,460460,231,000,GASOLINE,"Community Planning, Development, & Innovation"
300,1000,250,460460,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
300,1000,250,460460,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
1250,1000,250,460460,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
2550,1000,250,460460,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
1152,1000,250,460460,370,000,TRAVEL,"Community Planning, Development, & Innovation"
650,1000,250,460460,380,000,TRAINING,"Community Planning, Development, & Innovation"
2000,1000,250,460460,700,000,GRANTS & CONTRIBUTIONS,"Community Planning, Development, & Innovation"
0,1000,250,470210,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
0,1000,250,470210,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
279235,1000,250,470310,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
105148,1000,250,470310,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
269,1000,250,470310,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
2000,1000,250,470310,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
167,1000,250,470310,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
500,1000,250,470310,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
2000,1000,250,470310,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
9900,1000,250,470310,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
2000,1000,250,470310,370,000,TRAVEL,"Community Planning, Development, & Innovation"
3000,1000,250,470310,380,000,TRAINING,"Community Planning, Development, & Innovation"
195487,1000,250,470331,110,000,SALARIES AND WAGES,"Community Planning, Development, & Innovation"
62000,1000,250,470331,140,000,EMPLOYER CONTRIBUTIONS,"Community Planning, Development, & Innovation"
187,1000,250,470331,141,000,STATE RETIREMENT CONTRIBUTIONS,"Community Planning, Development, & Innovation"
5116,1000,250,470331,210,000,OFFICE SUPPLIES,"Community Planning, Development, & Innovation"
150,1000,250,470331,310,000,COMMUNICATIONS,"Community Planning, Development, & Innovation"
1035,1000,250,470331,320,000,PRINTING & DUPLICATING,"Community Planning, Development, & Innovation"
9000,1000,250,470331,330,000,PUBLICITY SUBSCRIPTIONS & DUES,"Community Planning, Development, & Innovation"
1550,1000,250,470331,350,000,PROFESSIONAL SERVICES,"Community Planning, Development, & Innovation"
2577,1000,250,470331,370,000,TRAVEL,"Community Planning, Development, & Innovation"
3500,1000,250,470331,380,000,TRAINING,"Community Planning, Development, & Innovation"
7200,1000,270,410360,700,000,ALTERNATIVE DISPUTE RESOLUTION,Community Based Organization
217163,1000,270,410371,700,000,VICTIM ADVOCACY/HEALTHY RELATIONSHIPS,Community Based Organization
71390,1000,270,411115,110,000,SALARIES AND WAGES,Community Based Organization
500,1000,270,411115,120,000,OVERTIME,Community Based Organization
26634,1000,270,411115,140,000,EMPLOYER CONTRIBUTIONS,Community Based Organization
70,1000,270,411115,141,000,STATE RETIREMENT CONTRIBUTIONS,Community Based Organization
327,1000,270,411115,210,000,OFFICE SUPPLIES,Community Based Organization
655,1000,270,411115,220,000,OPERATING SUPPLIES,Community Based Organization
100,1000,270,411115,231,000,GASOLINE,Community Based Organization
750,1000,270,411115,310,000,COMMUNICATIONS,Community Based Organization
150,1000,270,411115,320,000,PRINTING & DUPLICATING,Community Based Organization
1200,1000,270,411115,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Community Based Organization
300,1000,270,411115,344,000,TELEPHONE SERVICE,Community Based Organization
700,1000,270,411115,350,000,PROFESSIONAL SERVICES,Community Based Organization
3500,1000,270,411115,360,000,REPAIR & MAINTENANCE,Community Based Organization
3000,1000,270,411115,370,000,TRAVEL,Community Based Organization
1969,1000,270,411115,380,000,TRAINING,Community Based Organization
450,1000,270,411115,390,000,OTHER PURCHASED SERVICES,Community Based Organization
551724,1000,270,411120,110,000,SALARIES AND WAGES,Community Based Organization
3000,1000,270,411120,120,000,OVERTIME,Community Based Organization
170906,1000,270,411120,140,000,EMPLOYER CONTRIBUTIONS,Community Based Organization
532,1000,270,411120,141,000,STATE RETIREMENT CONTRIBUTIONS,Community Based Organization
818,1000,270,411120,210,000,OFFICE SUPPLIES,Community Based Organization
1636,1000,270,411120,220,000,OPERATING SUPPLIES,Community Based Organization
200,1000,270,411120,231,000,GASOLINE,Community Based Organization
100,1000,270,411120,310,000,COMMUNICATIONS,Community Based Organization
250,1000,270,411120,320,000,PRINTING & DUPLICATING,Community Based Organization
3000,1000,270,411120,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Community Based Organization
450,1000,270,411120,350,000,PROFESSIONAL SERVICES,Community Based Organization
8750,1000,270,411120,360,000,REPAIR & MAINTENANCE,Community Based Organization
4500,1000,270,411120,370,000,TRAVEL,Community Based Organization
2625,1000,270,411120,380,000,TRAINING,Community Based Organization
100,1000,270,411120,390,000,OTHER PURCHASED SERVICES,Community Based Organization
1131555,1000,270,411125,110,000,SALARIES AND WAGES,Community Based Organization
1500,1000,270,411125,120,000,OVERTIME,Community Based Organization
393956,1000,270,411125,140,000,EMPLOYER CONTRIBUTIONS,Community Based Organization
997,1000,270,411125,141,000,STATE RETIREMENT CONTRIBUTIONS,Community Based Organization
2127,1000,270,411125,210,000,OFFICE SUPPLIES,Community Based Organization
4255,1000,270,411125,220,000,OPERATING SUPPLIES,Community Based Organization
200,1000,270,411125,231,000,GASOLINE,Community Based Organization
350,1000,270,411125,310,000,COMMUNICATIONS,Community Based Organization
400,1000,270,411125,320,000,PRINTING & DUPLICATING,Community Based Organization
8315,1000,270,411125,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Community Based Organization
700,1000,270,411125,350,000,PROFESSIONAL SERVICES,Community Based Organization
22750,1000,270,411125,360,000,REPAIR & MAINTENANCE,Community Based Organization
7500,1000,270,411125,370,000,TRAVEL,Community Based Organization
8531,1000,270,411125,380,000,TRAINING,Community Based Organization
450,1000,270,411125,390,000,OTHER PURCHASED SERVICES,Community Based Organization
56925,1000,270,419000,110,000,SALARIES AND WAGES,Community Based Organization
44128,1000,270,419000,110,419,SALARIES AND WAGES,Community Based Organization
28244,1000,270,419000,140,000,EMPLOYER CONTRIBUTIONS,Community Based Organization
19472,1000,270,419000,140,419,EMPLOYER CONTRIBUTIONS,Community Based Organization
5968,1000,270,419000,220,000,OPERATING SUPPLIES,Community Based Organization
0,1000,280,431400,235,000,VEHICLE REPAIR/MAINTENANCE,Transfers
1416193,1000,290,420110,110,000,SALARIES AND WAGES,Police
79800,1000,290,420110,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
105924,1000,290,420110,120,000,OVERTIME,Police
0,1000,290,420110,121,000,OUTSIDE HIRE OVERTIME,Police
0,1000,290,420110,123,000,URBAN CAMPING OVERTIME,Police
3040,1000,290,420110,130,000,OTHER,Police
4472,1000,290,420110,133,000,EDUCATION COMPENSATION,Police
328031,1000,290,420110,140,000,EMPLOYER CONTRIBUTIONS,Police
323851,1000,290,420110,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
57268,1000,290,420110,220,000,OPERATING SUPPLIES,Police
900,1000,290,420110,230,000,REPAIR/MAINTENANCE,Police
10678,1000,290,420110,231,000,GASOLINE,Police
7196,1000,290,420110,310,000,COMMUNICATIONS,Police
7500,1000,290,420110,320,000,PRINTING & DUPLICATING,Police
16563,1000,290,420110,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Police
55556,1000,290,420110,344,000,TELEPHONE SERVICE,Police
76305,1000,290,420110,350,000,PROFESSIONAL SERVICES,Police
242377,1000,290,420110,360,000,REPAIR & MAINTENANCE,Police
0,1000,290,420110,392,000,DONATIONS AND SALES,Police
650,1000,290,420110,500,000,FIXED CHARGES,Police
4000,1000,290,420110,700,000,GRANTS & CONTRIBUTIONS,Police
82780,1000,290,420130,110,000,SALARIES AND WAGES,Police
11400,1000,290,420130,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
1451,1000,290,420130,120,000,OVERTIME,Police
760,1000,290,420130,130,000,OTHER,Police
716,1000,290,420130,133,000,EDUCATION COMPENSATION,Police
18656,1000,290,420130,140,000,EMPLOYER CONTRIBUTIONS,Police
25135,1000,290,420130,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
49775,1000,290,420130,220,000,OPERATING SUPPLIES,Police
0,1000,290,420130,320,000,PRINTING & DUPLICATING,Police
100,1000,290,420130,360,000,REPAIR & MAINTENANCE,Police
221380,1000,290,420130,370,000,TRAVEL,Police
25000,1000,290,420130,390,000,OTHER PURCHASED SERVICES,Police
2247022,1000,290,420141,110,000,SALARIES AND WAGES,Police
239400,1000,290,420141,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
90103,1000,290,420141,120,000,OVERTIME,Police
15200,1000,290,420141,130,000,OTHER,Police
12707,1000,290,420141,133,000,EDUCATION COMPENSATION,Police
502614,1000,290,420141,140,000,EMPLOYER CONTRIBUTIONS,Police
635930,1000,290,420141,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
7000,1000,290,420141,220,000,OPERATING SUPPLIES,Police
4600,1000,290,420141,230,000,REPAIR/MAINTENANCE,Police
24426,1000,290,420141,231,000,GASOLINE,Police
200,1000,290,420141,310,000,COMMUNICATIONS,Police
1800,1000,290,420141,350,000,PROFESSIONAL SERVICES,Police
1800,1000,290,420141,360,000,REPAIR & MAINTENANCE,Police
2566645,1000,290,420150,110,000,SALARIES AND WAGES,Police
296400,1000,290,420150,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
248003,1000,290,420150,120,000,OVERTIME,Police
0,1000,290,420150,121,000,OUTSIDE HIRE OVERTIME,Police
0,1000,290,420150,122,000,COURT OVERTIME,Police
19000,1000,290,420150,130,000,OTHER,Police
12804,1000,290,420150,133,000,EDUCATION COMPENSATION,Police
591909,1000,290,420150,140,000,EMPLOYER CONTRIBUTIONS,Police
725236,1000,290,420150,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
61414,1000,290,420150,220,000,OPERATING SUPPLIES,Police
59285,1000,290,420150,230,000,REPAIR/MAINTENANCE,Police
324649,1000,290,420150,231,000,GASOLINE,Police
0,1000,290,420150,320,000,PRINTING & DUPLICATING,Police
680,1000,290,420150,344,000,TELEPHONE SERVICE,Police
4875,1000,290,420150,350,000,PROFESSIONAL SERVICES,Police
28245,1000,290,420150,360,000,REPAIR & MAINTENANCE,Police
116629,1000,290,420150,940,000,MACHINERY & EQUIPMENT,Police
4736279,1000,290,420151,110,000,SALARIES AND WAGES,Police
649800,1000,290,420151,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
8174,1000,290,420151,120,000,OVERTIME,Police
43323,1000,290,420151,130,000,OTHER,Police
31921,1000,290,420151,133,000,EDUCATION COMPENSATION,Police
1068833,1000,290,420151,140,000,EMPLOYER CONTRIBUTIONS,Police
1434872,1000,290,420151,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
679261,1000,290,420153,110,000,CRO/SALARIES AND WAGES,Police
68400,1000,290,420153,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
8174,1000,290,420153,120,000,OVERTIME,Police
4560,1000,290,420153,130,000,OTHER,Police
3029,1000,290,420153,133,000,EDUCATION COMPENSATION,Police
178892,1000,290,420153,140,000,EMPLOYER CONTRIBUTIONS,Police
161860,1000,290,420153,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
1000,1000,290,420153,220,000,OPERATING SUPPLIES,Police
16859,1000,290,420153,231,000,GASOLINE,Police
500,1000,290,420153,360,000,REPAIR & MAINTENANCE,Police
50932,1000,290,420154,110,000,SALARIES AND WAGES,Police
535,1000,290,420154,120,000,OVERTIME,Police
21382,1000,290,420154,140,000,EMPLOYER CONTRIBUTIONS,Police
49,1000,290,420154,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
640,1000,290,420154,220,000,OPERATING SUPPLIES,Police
0,1000,290,420154,231,000,GASOLINE,Police
0,1000,290,420154,320,000,PRINTING & DUPLICATING,Police
17229,1000,290,420154,350,000,PROFESSIONAL SERVICES,Police
719481,1000,290,420160,110,000,SALARIES AND WAGES,Police
9320,1000,290,420160,120,000,OVERTIME,Police
262128,1000,290,420160,140,000,EMPLOYER CONTRIBUTIONS,Police
690,1000,290,420160,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
2050,1000,290,420160,220,000,OPERATING SUPPLIES,Police
30358,1000,290,420160,310,000,COMMUNICATIONS,Police
277812,1000,290,420170,110,000,SALARIES AND WAGES,Police
0,1000,290,420170,110,419,SALARIES AND WAGES,Police
0,1000,290,420170,120,419,OVERTIME,Police
0,1000,290,420170,140,000,EMPLOYER CONTRIBUTIONS,Police
0,1000,290,420170,140,419,EMPLOYER CONTRIBUTIONS,Police
3000,1000,290,420170,220,000,OPERATING SUPPLIES,Police
0,1000,290,420170,220,419,OPERATING SUPPLIES,Police
7500,1000,290,420170,350,000,PROFESSIONAL SERVICES,Police
14760,1000,290,420170,500,000,FIXED CHARGES,Police
0,1000,290,420170,650,000,LEASE PAYMENTS - PRINCIPAL,Police
0,1000,290,420170,660,000,LEASE PAYMENTS - INTEREST,Police
257931,1000,290,420182,110,000,SALARIES AND WAGES,Police
11400,1000,290,420182,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Police
5271,1000,290,420182,120,000,OVERTIME,Police
760,1000,290,420182,130,000,OTHER,Police
784,1000,290,420182,133,000,EDUCATION COMPENSATION,Police
86198,1000,290,420182,140,000,EMPLOYER CONTRIBUTIONS,Police
27002,1000,290,420182,141,000,STATE RETIREMENT CONTRIBUTIONS,Police
17600,1000,290,420182,220,000,OPERATING SUPPLIES,Police
500,1000,290,420182,230,000,REPAIR/MAINTENANCE,Police
1979,1000,290,420182,231,000,GASOLINE,Police
300,1000,290,420182,310,000,COMMUNICATIONS,Police
0,1000,290,420182,320,000,PRINTING & DUPLICATING,Police
45456,1000,290,420182,350,000,PROFESSIONAL SERVICES,Police
150,1000,290,420182,360,000,REPAIR & MAINTENANCE,Police
11885,1000,290,420185,220,000,OPERATING SUPPLIES,Police
200,1000,290,420185,230,000,REPAIR/MAINTENANCE,Police
239,1000,290,420185,231,000,GASOLINE,Police
175,1000,290,420185,350,000,PROFESSIONAL SERVICES,Police
350,1000,290,420185,360,000,REPAIR & MAINTENANCE,Police
11300,1000,300,419000,350,000,PROFESSIONAL SERVICES,Fire
668225,1000,300,420410,110,000,SALARIES AND WAGES,Fire
34200,1000,300,420410,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
2193,1000,300,420410,130,000,OTHER,Fire
201379,1000,300,420410,140,000,EMPLOYER CONTRIBUTIONS,Fire
155647,1000,300,420410,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
6521,1000,300,420410,210,000,OFFICE SUPPLIES,Fire
2822,1000,300,420410,220,000,OPERATING SUPPLIES,Fire
300,1000,300,420410,230,000,REPAIR/MAINTENANCE,Fire
593,1000,300,420410,240,000,OTHER SUPPLIES,Fire
649,1000,300,420410,310,000,COMMUNICATIONS,Fire
240,1000,300,420410,320,000,PRINTING & DUPLICATING,Fire
1238,1000,300,420410,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
2900,1000,300,420410,350,000,PROFESSIONAL SERVICES,Fire
25426,1000,300,420410,360,000,REPAIR & MAINTENANCE,Fire
4240,1000,300,420410,370,000,TRAVEL,Fire
1054,1000,300,420410,380,000,TRAINING,Fire
0,1000,300,420410,650,000,LEASE PAYMENTS - PRINCIPAL,Fire
0,1000,300,420410,660,000,LEASE PAYMENTS - INTEREST,Fire
8234,1000,300,420420,210,000,OFFICE SUPPLIES,Fire
6459,1000,300,420420,220,000,OPERATING SUPPLIES,Fire
14000,1000,300,420420,230,000,REPAIR/MAINTENANCE,Fire
2750,1000,300,420420,340,000,WASTEWATER,Fire
103012,1000,300,420420,341,000,ELECTRICITY & NATURAL GAS,Fire
416,1000,300,420420,342,000,STORM WATER,Fire
14987,1000,300,420420,343,000,WATER CHARGES,Fire
19848,1000,300,420420,344,000,TELEPHONE SERVICE,Fire
9666,1000,300,420420,345,000,GARBAGE,Fire
27058,1000,300,420420,360,000,REPAIR & MAINTENANCE,Fire
127153,1000,300,420430,110,000,SALARIES AND WAGES,Fire
11400,1000,300,420430,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
3316,1000,300,420430,120,000,OVERTIME,Fire
731,1000,300,420430,130,000,OTHER,Fire
30861,1000,300,420430,140,000,EMPLOYER CONTRIBUTIONS,Fire
42179,1000,300,420430,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
96,1000,300,420430,210,000,OFFICE SUPPLIES,Fire
3701,1000,300,420430,220,000,OPERATING SUPPLIES,Fire
320,1000,300,420430,230,000,REPAIR/MAINTENANCE,Fire
192,1000,300,420430,320,000,PRINTING & DUPLICATING,Fire
322,1000,300,420430,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
1148,1000,300,420430,370,000,TRAVEL,Fire
480,1000,300,420430,380,000,TRAINING,Fire
584831,1000,300,420440,110,000,SALARIES AND WAGES,Fire
57000,1000,300,420440,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
14420,1000,300,420440,120,000,OVERTIME,Fire
3655,1000,300,420440,130,000,OTHER,Fire
143834,1000,300,420440,140,000,EMPLOYER CONTRIBUTIONS,Fire
195478,1000,300,420440,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
144,1000,300,420440,210,000,OFFICE SUPPLIES,Fire
5000,1000,300,420440,220,000,OPERATING SUPPLIES,Fire
1540,1000,300,420440,230,000,REPAIR/MAINTENANCE,Fire
150,1000,300,420440,320,000,PRINTING & DUPLICATING,Fire
5246,1000,300,420440,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
3000,1000,300,420440,360,000,REPAIR & MAINTENANCE,Fire
5324,1000,300,420440,370,000,TRAVEL,Fire
2500,1000,300,420440,380,000,TRAINING,Fire
121001,1000,300,420455,110,000,SALARIES AND WAGES,Fire
11400,1000,300,420455,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
3263,1000,300,420455,120,000,OVERTIME,Fire
731,1000,300,420455,130,000,OTHER,Fire
29612,1000,300,420455,140,000,EMPLOYER CONTRIBUTIONS,Fire
40317,1000,300,420455,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
20581,1000,300,420455,220,000,OPERATING SUPPLIES,Fire
320,1000,300,420455,230,000,REPAIR/MAINTENANCE,Fire
6684,1000,300,420455,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
10000,1000,300,420455,350,000,PROFESSIONAL SERVICES,Fire
5045,1000,300,420455,360,000,REPAIR & MAINTENANCE,Fire
1023,1000,300,420455,370,000,TRAVEL,Fire
1920,1000,300,420455,380,000,TRAINING,Fire
14400,1000,300,420455,390,000,OTHER PURCHASED SERVICES,Fire
8318058,1000,300,420460,110,000,SALARIES AND WAGES,Fire
912000,1000,300,420460,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
611505,1000,300,420460,120,000,OVERTIME,Fire
88967,1000,300,420460,130,000,OTHER,Fire
2019688,1000,300,420460,140,000,EMPLOYER CONTRIBUTIONS,Fire
2670492,1000,300,420460,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
89776,1000,300,420460,220,000,OPERATING SUPPLIES,Fire
41420,1000,300,420460,230,000,REPAIR/MAINTENANCE,Fire
91061,1000,300,420460,231,000,GASOLINE,Fire
864,1000,300,420460,320,000,PRINTING & DUPLICATING,Fire
312,1000,300,420460,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
32163,1000,300,420460,350,000,PROFESSIONAL SERVICES,Fire
22800,1000,300,420460,360,000,REPAIR & MAINTENANCE,Fire
5058,1000,300,420460,370,000,TRAVEL,Fire
67156,1000,300,420460,380,000,TRAINING,Fire
500,1000,300,420460,390,000,OTHER PURCHASED SERVICES,Fire
118505,1000,300,420465,110,000,SALARIES AND WAGES,Fire
11400,1000,300,420465,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
731,1000,300,420465,130,000,OTHER,Fire
28864,1000,300,420465,140,000,EMPLOYER CONTRIBUTIONS,Fire
39561,1000,300,420465,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
1000,1000,300,420465,230,000,REPAIR/MAINTENANCE,Fire
337165,1000,300,420490,110,000,SALARIES AND WAGES,Fire
34200,1000,300,420490,115,000,SALARIES/HEALTH INSURANCE BENEFIT,Fire
6683,1000,300,420490,120,000,OVERTIME,Fire
2193,1000,300,420490,130,000,OTHER,Fire
83373,1000,300,420490,140,000,EMPLOYER CONTRIBUTIONS,Fire
113129,1000,300,420490,141,000,STATE RETIREMENT CONTRIBUTIONS,Fire
48,1000,300,420490,210,000,OFFICE SUPPLIES,Fire
4100,1000,300,420490,230,000,REPAIR/MAINTENANCE,Fire
91,1000,300,420490,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fire
2800,1000,300,420490,360,000,REPAIR & MAINTENANCE,Fire
2000,1000,300,420490,370,000,TRAVEL,Fire
1500,1000,300,420490,380,000,TRAINING,Fire
163090,1000,300,429000,940,000,MACHINERY & EQUIPMENT,Fire
305440,1000,300,429001,110,000,SALARIES AND WAGES,Fire
0,1000,300,429001,110,419,ARPA - MST,Fire
23058,1000,300,429001,120,000,OVERTIME,Fire
0,1000,300,429001,120,419,OVERTIME,Fire
110076,1000,300,429001,140,000,EMPLOYER CONTRIBUTIONS,Fire
0,1000,300,429001,140,419,ARPA - MST,Fire
36421,1000,300,429001,220,000,OPERATING SUPPLIES,Fire
0,1000,300,429001,220,419,ARPA - MST,Fire
2700,1000,300,429001,230,000,REPAIR/MAINTENANCE,Fire
0,1000,300,429001,230,419,REPAIR/MAINTENANCE,Fire
6000,1000,300,429001,231,000,GASOLINE,Fire
0,1000,300,429001,231,419,GASOLINE,Fire
4800,1000,300,429001,341,000,ELECTRICITY & NATURAL GAS,Fire
0,1000,300,429001,341,419,ELECTRICITY & NATURAL GAS,Fire
4632,1000,300,429001,344,000,TELEPHONE SERVICE,Fire
0,1000,300,429001,344,419,TELEPHONE SERVICE ARPA,Fire
1200,1000,300,429001,345,000,GARBAGE,Fire
0,1000,300,429001,345,419,GARBAGE,Fire
1950,1000,300,429001,350,000,PROFESSIONAL SERVICES,Fire
6350,1000,300,429001,380,000,TRAINING,Fire
0,1000,300,429001,380,419,TRAINING,Fire
12000,1000,300,429001,390,000,OTHER PURCHASED SERVICES,Fire
0,1000,300,429001,390,419,OTHER PURCHASED SERVICES,Fire
34818,1000,300,429001,530,000,RENT,Fire
0,1000,300,429001,650,000,LEASE PAYMENTS - PRINCIPAL,Fire
0,1000,300,429001,660,000,LEASE PAYMENTS - INTEREST,Fire
807149,1000,300,429001,700,000,GRANTS & CONTRIBUTIONS,Fire
0,1000,321,431310,310,000,COMMUNICATIONS,Fleet Maintenance
810056,1000,321,431330,110,000,SALARIES AND WAGES,Fleet Maintenance
2000,1000,321,431330,120,000,OVERTIME,Fleet Maintenance
34398,1000,321,431330,130,000,OTHER,Fleet Maintenance
369188,1000,321,431330,140,000,EMPLOYER CONTRIBUTIONS,Fleet Maintenance
814,1000,321,431330,141,000,STATE RETIREMENT CONTRIBUTIONS,Fleet Maintenance
1000,1000,321,431330,210,000,OFFICE SUPPLIES,Fleet Maintenance
37800,1000,321,431330,220,000,OPERATING SUPPLIES,Fleet Maintenance
67926,1000,321,431330,230,000,REPAIR/MAINTENANCE,Fleet Maintenance
6629,1000,321,431330,231,000,GASOLINE,Fleet Maintenance
2600,1000,321,431330,240,000,OTHER SUPPLIES,Fleet Maintenance
378,1000,321,431330,310,000,COMMUNICATIONS,Fleet Maintenance
350,1000,321,431330,320,000,PRINTING & DUPLICATING,Fleet Maintenance
530,1000,321,431330,330,000,PUBLICITY SUBSCRIPTIONS & DUES,Fleet Maintenance
1295,1000,321,431330,344,000,TELEPHONE SERVICE,Fleet Maintenance
11719,1000,321,431330,350,000,PROFESSIONAL SERVICES,Fleet Maintenance
4420,1000,321,431330,360,000,REPAIR & MAINTENANCE,Fleet Maintenance
900,1000,321,431330,370,000,TRAVEL,Fleet Maintenance
7200,1000,321,431330,380,000,TRAINING,Fleet Maintenance
0,1000,340,430910,141,000,STATE RETIREMENT CONTRIBUTIONS,"Public Works, Mobility, & Infrastructure"
0,1000,390,410000,220,000,OPERATING SUPPLIES,Transfers
25000,1000,390,410555,120,000,TERMINATION PAY,Transfers
0,1000,390,410555,140,000,EMPLOYER CONTRIBUTIONS,Transfers
131915,1000,390,411860,500,000,SID ASSESSMENTS-FIXED CHARGES,Transfers
5000,1000,390,420500,500,000,BLDG DEPT REIMB FOR GENERAL FUND TIME,Transfers
