fund,dept_no,activity,program_title_h8,requested_title_change_i9,department_h6,ftes_h36,personnel_g27,o&m_g28,debt_g29,grant_g30,transfers_g31,capital_g32,total_expenditures_g33,cost_recovery_e58_yn,cost_recovery_p24_percent,description_e12,additional_activities_e20,mandate_e41_yn,mandate_h41_entity,mandate_e43_descript,service_level_e47_yn,service_level_h47_entity,service_level_e49_descript,reliance_e53_level,reliance_e55_high_descript,strategic_goal_e64_yn,strategic_goal_e66_name,strategic_goal_e68_action_descript,strategic_goal_e74_additional_actions,strategic_goal_e80_2nd_additional_actions,trend_demand_e87_level,trend_demand_e89_descript,risk_e93_type,risk_e95_descript
2955,280,411079,BIKE/PED MDT,BIKE/PED CMAQ,"Public Works, Mobility, & Infrastructure",2.0,20920.0,28838.0,0,0.0,0,0.0,49758.0,Yes,0.982334498975039,"This grant funded activity is charged with all expenditures for the costs to increase the use of sustainable transportation in and around Missoula. Key program elements include implementation of bicycle infrastructure such as Neighborhood Greenways and installation of bike racks, education outreach and communications on bicycle/pedestrian safety.",0,Yes,Required by Federal Law,"The Bike/Ped CMAQ program is funded by and supports improved air quality through shifts away from single-occupancy vehicle trips. As a limited  maintenance area for both PM2.5 and Carbon Monoxide (CO), we are required to ensure emissions of these pollution sources are reduced or eliminated. One of the sources of both pollutants is from vehicle tailpipe emissions and roadway dust entrapment within the Air Stagnation Zone. Bike/Ped program is funded through a Congestion Mitigation and Air Quality grant from the MPO in order to help meet our required air quality targets.",Yes,Granting Agency,"Per contracts and agreements with the Montana Department of Transportation, the Bike/Ped program is required to meet emissions reduction targets in support of state and federal performance measures.",High,Lack of Readily Available alternatives,Yes,Community Design and Livability,"Prioritize transportation infrastructure projects that promote safety, mobility and reduced climate impact to create healthier, more sustainable neighborhoods and improved equity.",Create incentives and regulations that reduce the demand for single-occupancy vehicles by completing the Transportation Options project.,0,Demand for service is increasing,"Funding through the Bike/Ped program contributes to the ongoing implementation of Neighborhood Greenways through support of the Neighborhood Traffic Management Program quick-build activities, ""bike racks for businesses"" and support of our Transportation Options seasonal staff. Funding is stable, but there is some risk as costs continue to increase while grant funding remains flat.",Financial Risk,"Risk is currently small, but costs continue to increase while grant funding remains fixed."
2955,280,411080,MIM MDT,MISSOULA IN MOTION,"Public Works, Mobility, & Infrastructure",3.0,237249.0,118069.0,0,0.0,0,0.0,355318.0,Yes,0.983037729583078,This grant funded activity is charged with all expenditures for the costs of creating safe and sustainable transportation options in and around Missoula through the Missoula In Motion programs. Activities include community-wide education and encouragement programming and resources.,0,Yes,Required by Federal Law,"The Missoula In Motion program is funded by and supports improved air quality through shifts away from single-occupancy vehicle trips. As a limited  maintenance area for both PM2.5 and Carbon Monoxide (CO), we are required to ensure emissions of these pollution sources are reduced or eliminated. One of the sources of both pollutants is from vehicle tailpipe emissions and roadway dust entrapment within the Air Stagnation Zone. Missoula In Motion is funded through a Congestion Mitigation and Air Quality grant from the MPO in order to help meet our required air quality targets.",Yes,Granting Agency,"Per contracts and agreements with the Montana Department of Transportation, Missoula In Motion is required to meet emissions reduction targets in support of state and federal performance measures.",High,Lack of Readily Available alternatives,Yes,Community Design and Livability,Create incentives and regulations that reduce the demand for single-occupancy vehicles by completing the Transportation Options project.,"Prioritize transportation infrastructure projects that promote safety, mobility and reduced climate impact to create healthier, more sustainable neighborhoods and improved equity.",0,Demand for service is increasing,"As Missoula continues to grow and experience impacts on our transportation system, availability of existing vehicle capacity and parking deminishing. In order to meet our infrastructure and sustainability goals, we must continue to provide appropriate education around multi-modal transportation. This also applies to transportation safety and Missoula's adoption of Vision Zero. The MIM program is experience increased demands for partnerships (with private employers/developers, partner agencies such as MDA and the Parking Commission), and demand for safety and education messaging.",Financial Risk,"As funding continues to be limited for transportation investments, relying on CMAQ grants from the MPO poses a small risk to the program. In addition, current funding does not allow for growth of the program, since the grant has a fixed cap unless the MPO awards additional funds, and personnel and program costs continue to increase."
2955,280,430255,BIKE-PED PROGRAM & TRAILS,0,"Public Works, Mobility, & Infrastructure",1.0,104612.0,17953.0,0,0.0,0,0.0,122565.0,Yes,1.0,"This RD#1 activity is charged with expenditures for the costs of transportation planning, including implementation of adopted Complete Streets and Vision Zero policies, and management of efforts to improve safety for and increase the number of people biking and walking in and around Missoula.",0,No,0,0,No,0,0,High,Internal Organizational (City) Dependence,Yes,Community Design and Livability,Create incentives and regulations that reduce the demand for single-occupancy vehicles by completing the Transportation Options project.,"Prioritize transportation infrastructure projects that promote safety, mobility and reduced climate impact to create healthier, more sustainable neighborhoods and improved equity.",Coordinate grant opportunities across departments to secure funding for key projects.,Demand for service is increasing,"As the city continues to grow and more citizens are encouraged to use different modes of transportation, as well as increased need for multi-modal project design and funding.",Financial Risk,0
4033,280,430262,SIDEWALK & CURB,0,"Public Works, Mobility, & Infrastructure",0.0,0.0,0.0,0,0.0,0,5007619.75,5007619.75,No,0.0,"This activity accounts for sidewalk & curb capital expenditures including the following projects: 1)$150,000 Kent/Central Greenway Phase II - this project is funded by BaRSAA 2)$100,000  Maple St SW - this project is funded by BaRSAAA and Road District contributions 3)$81,780 Eaton Sidewalks - this project is funded by contributions from the Road District 4)$242,792 Russell/Fairgrounds Trail X Walk - this project is funded by BaRSAA and Grants 5)$2,117,648 Turner/Worden - This project isf unded by contributions from the Road District, BaRSAA, and Special Assessments 6)$1,688,025 Ivy/Franklin/Park Greenway - this project is funded by contributions from the Road District, BaRSAA, Local Option Gas TGax, and Special Assessments 7)$20,964 Westside Area Mobility - this project is funded by contributions from the Road District, BaRSAA, and Special Assessments 8)$120,000 Eaton SW Phase II - this project is funded by contributions from the Road District, BaRSAA, and Transporation impact fees 9)$126,000 Burton Greenway - this project is funded by BaRSAA, 10)$360,412 Kent/Central Greenway Ph 1 - this project is funded by contributions from MRA.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
4034,280,430232,RIGHT OF WAY ROAD CONSTRUCTION,0,"Public Works, Mobility, & Infrastructure",0.0,940056.0,0.0,0,0.0,0,24755342.0,25695398.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035,280,430232,RIGHT OF WAY ROAD CONSTRUCTION,0,"Public Works, Mobility, & Infrastructure",0.0,0.0,0.0,0,0.0,0,3741918.63,3741918.63,No,0.0,"This activity accounts for multiple right of way road improvments including: 1) $808,200 Broadway/Tool/Clifornia Roundabout - this project is funded by Grants 2) $85,000 CA St Recontruction - this project is funded by contributions from the road district 3) $2,000,000 South Ave SS4A - this project is funded by Grants 4) $117,377 South Ave Improvements  - this project is funded by transportation impact fees 5) $37,454 Lower Miller Cr Rd Improvements - this project is funded by transportation impact fees 6) $386,203 Mullan Road Improvements - this project is funded by transportation impact fees 7) $87,866.71 George Elmer/Cattle Drive - this project is funded by transporation impact fees and new development 8) $220,000 Scott St Imp - - Otis to Phillips - this project is funded by transportation impact fees",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
4037,280,430264,TRAFFIC SIGNAL MAINTENANCE,Wayside Horns Project,"Public Works, Mobility, & Infrastructure",0.0,0.0,181103.0,0,0.0,0,0.0,181103.0,No,0.0,This activity accounts for the construction consts associated with the Wayside Horns project. This project is funded by contributions form MRA .,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
4980,280,430233,ROADWAY,Mullan Area Capital Improvements,"Public Works, Mobility, & Infrastructure",0.0,0.0,0.0,0,0.0,0,15982268.0,15982268.0,No,0.0,"This activity accounts for capital improvements in the Mullan Area.  This includes the following projects: 1)$13,056,346 Build Grant - this project will be funded by Grants and Debt Service 2)  $200,000 George Elmer McNett Flats - This project is funded by transportation impact fees 3) $364,922 Mary Jane Blvd Hellgate Village - This project is funded by transportation impact fees 4)  $2,361,000 Mullan Flyn Ln Trail TA - This project is funded by Grants.",0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
2512,280,411080,MIM MDT,0,Transfers,0.0,0.0,0.0,0,0.0,12000,0.0,12000.0,No,0.0,This activity is charged with support as the required local match to the grant funded MIM program. The MIM MDT operating activity can be found in 2955.280.411080,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
2512,280,430255,BIKE-PED PROGRAM & TRAILS,0,Transfers,0.0,0.0,0.0,0,0.0,122565,0.0,122565.0,No,0.0,Charged with all expenditures for the costs of creating safe and sustainable bicycle and pedestrian friendly transportation options in and around Missoula.This represents the local match for the Bike-Ped Program.  The Bike-Ped operating activity can be found in 2955.280.430255,0,No,0,0,No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
2820,280,430230,STREET RESTORATION,0,Transfers,0.0,0.0,0.0,0,0.0,1097998,0.0,1097998.0,Yes,1.0,Activities that reflect the transfer of current year Gas Tax allocations to the Road district. Potential duplicate of 2512.320.430230,0,Yes,Required by City Charter,"Program is essetial and strives to provide safe streets for all users and first responders. Required under 
maintenance agreement with Montana Department of Transportation on State routes within City limits.",No,0,0,High,High level of disruption if this program were discontinued,Yes,Community Design and Livability,"Prioritize maintenance and repair of existing infrastructure, particularly infrastructure that serves underserved areas or populations.","Prioritize transportation infrastructure projects that promote safety, mobility and reduced climate impact to create healthier, more sustainable neighborhoods and improved equity.",0,Demand for service is increasing,"As the city grows and more streets are constructed, more resources will be required for maintenance.",Financial Risk,Severe inflation and supply chain disruption.
2820,280,430241,BaRSSA (Gas Tax),0,Transfers,0.0,0.0,0.0,0,0.0,250000,0.0,250000.0,Yes,1.0,Activty reflects the transfer of a portion of Bridge and Road Safety and Accountability Act (BaRSAA) funds to the road district for eligible costs. Potentially duplicate of 2512.320.430241,0,Yes,Required by State Law,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Community Design and Livability,"Prioritize maintenance and repair of existing infrastructure, particularly infrastructure that serves underserved areas or populations.","Prioritize transportation infrastructure projects that promote safety, mobility and reduced climate impact to create healthier, more sustainable neighborhoods and improved equity.",0,Demand for service is increasing,As the City grows and more streets are constructed more resources will be required for maintenance.,Financial Risk,"State Legislature or MDT regulations could change allocation amount, but has never occured. Typically funding 
increases annually."
1000,290,420110,ADMINISTRATION,0,Police,12.0,2261311.0,474993.0,0,4000.0,6000,0.0,2746304.0,Yes,0.053344422176132,"The Administrative Division manages our Communications & Records Unit, Office of Professional Standards, Reserve Officers. This division retains and disseminates records, conducts recruitment, hiring, training and promotion processes and provides council and court security.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,0,0,Yes,"Community Safety, Health and Well-Being","Work with community partners to determine a long-term, sustainable plan for Emergency Shelter",Complete the Police facility needs assessments and site selection process.,"Complete the Police facility conceptual design, which will inform size and estimate of probable cost; determine funding source.",Demand for service is increasing,Increased calls for service in the areas of our unhoused shelters continues as well as the need to support the mobile support team and CIT program.,0,0
1000,290,420130,PERSONNEL TRAINING,Department Training & Travel,Police,1.0,140898.0,296255.0,0,0.0,0,0.0,437153.0,Yes,0.114685247499159,"This activity funds all in-house and outside training and travel for all employees to include new officr POST Academy, ongoing in-service monthly training, advanced discipline specific training and other travel such as recruitment.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,Yes,Organizational Excellence and Resilience,"Increase diversity of applicants in the hiring process to increase diversity of City staff members’ lived, educational, and professional experiences",Modernize information technology systems and practices,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire",Demand for service is stable,0,Low/No Risk,0
1000,290,420141,CRIMINAL INVESTIGATION,Criminal Investigations,Police,21.0,3742976.0,39826.0,0,0.0,0,0.0,3782802.0,No,0.168110834244034,"The Detective Division budget supports the personnel staffing, equipment and maintenance for this divsion which is responsible for felony investigations.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is increasing,0,Low/No Risk,0
1000,290,420150,TRAFFIC POLICING-UNIFORM,Uniform Patrol,Police,76.0,4459997.0,479148.0,0,0.0,0,116629.0,5055774.0,Yes,0.159488141677219,"The Uniform Patrol Division provides first responder services, traffic enforcement and crash investigators, misdemeanor follow up investigations and coordinating fleet repairs/updates.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,High,0,Yes,"Community Safety, Health and Well-Being","Work with community partners to determine a long-term, sustainable plan for Emergency Shelter",Continue support of the Mobile Support Team.,Continue support for the Missoula Crisis Intervention Team.,Demand for service is increasing,"As the unhoused population increases, there is a need for law enforcement to assist other departments with issues that need to be addressed including urban camping, parks area cleanup.",Low/No Risk,0
1000,290,420151,PATROL CFS,Unform Patrol CFS,Police,0.0,7973202.0,0.0,0,0.0,0,0.0,7973202.0,No,0.180054512603594,Created only for tracking 10.67 hour shifts,0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is increasing,0,Low/No Risk,0
1000,290,420153,COMMUNITY RESOURCE,School Resource Officers,Police,5.0,1104176.0,18359.0,0,0.0,0,0.0,1122535.0,Yes,0.47295897232603,The six School Resource Officers are embedded in Missoula County Public Schools and the Hellgate School District. There is one SRO in each of the three high schools and two SROs share the responsibliltiy for all MCPS elementary and middle schools. One SRO is assigned to Hellgate School District elementary and middle schools. They are a liason to the  school and take calls for service related to the schools.,0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is increasing,Missoula County Public Schools and Missoula Police Department are exploring the ability to expand the School Resource Officer program in local schools.,Low/No Risk,0
1000,290,420154,ABANDONED VEHICLE PROGRAM,0,Police,1.0,72898.0,17869.0,0,0.0,0,0.0,90767.0,Yes,0.0165258298720901,The Abandoned Vehicle  Program is rsponsible for accepting and resolving complaints about abandonded vehicles on public right-of-way. The resolution to these complaints can include removal and disposal of abandonded vehicles.,0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is increasing,The number of abandoned vehicles reported has shown an increase of 5% from calendar year 2022.,Low/No Risk,0
1000,290,420160,COMMUNICATIONS,Communications & Records,Police,11.5,991619.0,32408.0,0,0.0,0,0.0,1024027.0,Yes,0.0405262751861035,"The Communications Unit provides the staffing for our business hour walk-up service window and our 24-hour access to City Hall as well as providing fingerprint services to the public. They provide information, take inital reports and adminster CJIN and NCIC services. The Records Unit validates reports, disseminates reports, and reports data to other agencies.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,290,420170,CIT PROGRAM,0,Police,3.0,277812.0,25260.0,0,0.0,0,0.0,303072.0,Yes,0.455205363741949,"The Crisis Intervention Team provides multi-disciplinary training to first responders and other providers, establish relationships, protocols, and process amongst agencies, collects data and collaborates to promote best practices in the area of behavior health and mental health crisis.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Medium,0,Yes,"Community Safety, Health and Well-Being",Continue support for the Missoula Crisis Intervention Team.,Continue support of the Mobile Support Team.,0,Demand for service is increasing,"As the program has grown, demand has increased from outside entities as well as within the Missoula Police Department.",Financial Risk,0
1000,290,420182,EVIDENCE,Evidence Forensics & Property,Police,4.0,389346.0,65985.0,0,0.0,0,0.0,455331.0,Yes,0.0614981189508292,The Evidence and Property Unit stores and safeguards evidence related to criminal invesigations and all other property that falls under the control of the Missoula Police Department.,0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
1000,290,420185,SPECIAL TEAMS,0,Police,0.0,0.0,12849.0,0,0.0,0,0.0,12849.0,No,0.0,"The Special Teams include the tactical team, the crisis negotiations team and the explosive ordinance team. These teams are specially trained and equipped to respond to high risk siutations which are beyond the capability of normally available resources.",0,Yes,Required by State Law,"MCA 7-32-4101 - Police department authorized and required. There shall be in every city and town of this state a police department which shall be organized, managed, and controlled as provided in this part.",No,0,0,Low,0,No,0,0,0,0,Demand for service is stable,0,Low/No Risk,0
2390,290,420142,NARCOTICS,Narcotic Seizures,Police,0.0,0.0,2550.0,0,0.0,0,0.0,2550.0,Yes,1.05882352941176,"Montana state court ordered fines, seizures and asset forfeiture resulting from drug investigations. These resources are used to support future durg investigations.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,290,420172,JAG XII,JAG 2022,Police,0.0,0.0,0.0,0,45000.0,0,0.0,45000.0,Yes,1.0,Federal grant provided for purchase of equipment and/or services related to law enforcement.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,290,420175,JAG X GRANT,JAG 2024,Police,0.0,0.0,0.0,0,45000.0,0,0.0,45000.0,Yes,1.0,Federal grant provided for purchase of equipment and/or services related to law enforcement.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,290,420142,NARCOTICS,HIDTA Asset Sharing,Police,0.0,16374.0,54384.0,0,17912.0,0,25000.0,113670.0,Yes,1.0,Federal court ordered fines and forefeiture resulting from drug investigations. These resources are used in future drug investigations.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420146,PROJECT SAFE NEIGHBORHOOD (PSN) RESEARCH,Project Safe Neighborhood (PSN),Police,0.0,153378.0,0.0,0,0.0,0,0.0,153378.0,Yes,0.293392794272973,Federal fund provided for researching violent crimes as well as for directed enforcement for the arrest of violent offenders.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420160,COMMUNICATIONS,ICAC Grant,Police,0.0,0.0,16000.0,0,0.0,0,0.0,16000.0,Yes,0.625,Federal funds provided to aid in the investigation of computer and internet crimes against children.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420180,BULLETPROOF VEST PROGRAM,0,Police,0.0,0.0,35000.0,0,0.0,0,0.0,35000.0,Yes,0.5,Federal funds to reimburse for 50% of the cost of ballistic vests for sworn law enforcement officers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420188,HIDTA CONNECT,0,Police,0.0,9300.0,133286.5,0,0.0,0,0.0,142586.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420190,LAW ENFORCEMENT BLOCK GRANT,MT State NHTSA STEP Grant,Police,1.0,170704.0,0.0,0,31970.0,0,0.0,202674.0,Yes,0.814115278723467,Federal funds provided for enforcement of seatbelt and DUI laws as well as the cost of one full-time officer assigned to DUI patrols.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420196,HIDTA 2021,HIDTA 2025,Police,0.0,0.0,25463.0,0,0.0,0,0.0,25463.0,Yes,1.0,"Missoula County Drug Task Force funding provided by ONDCP. Includes members from City, County, State and Federal agencies. Amount to be determined at the end of calendar year 2024.",0,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
2989,290,420198,HIDTA 2023,0,Police,0.0,0.0,140362.0,0,0.0,0,0.0,140362.0,Yes,1.0,"Missoula County Drug Task Force funding provided by ONDCP. Includes members from City, County, State and Federal agencies.",0,No,0,0,No,0,0,0,0,No,0,0,0,0,Demand for service is increasing,0,0,0
1000,300,420410,ADMINISTRATION,0,Fire,6.0,1061644.0,45983.0,0,0.0,2700,0.0,1110327.0,Yes,0.141081861469639,"This program is inclusive of salaries and benefits specific to the chief staff (chief and 2 assistant chiefs) and admin support (fire business manager and 2 admin III). Additional elements of this program are office supplies, computer supplies, vehicle maintenance, dues and subscriptions, annual software contracts as well as server replacement fees.",0,Yes,Required by State Law,MCA 7-33-4101 First class cities shall provide fire protection services; MCA 7-1-4111 classifies the City of Missoula as a first class city by its definition.,No,0,0,High,High level of disruption if this program were discontinued,Yes,"Community Safety, Health and Well-Being",Provide for additional Alternate Response Unit capacity as an interim step to manage the level of service.,Explore funding sources to support the addition of a fire station and engine company.,"Evaluate Emergency Medical Service (EMS) study and develop an implementation strategy, as it dovetails with the Master Fire Plan.",Demand for service is increasing,The increased demand of services provided by the fire department increases the supportive demand to the operation of the department.,Changes in Program Requirements,"As a city department funded completely under the City's general fund, tax revenue constraints place the viability of our services in jeapordy of lesser performance measures."
1000,300,420420,FACILITY,0,Fire,0.0,0.0,206430.0,0,0.0,0,0.0,206430.0,No,0.0,"This program is inclusive of utilities, phones, garbage, station furniture, wellness/fitness equipment, cleaning supplies, facility maintenance supplies and repairs for all five of our fire stations and our boathouse.",0,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire",0,0,Demand for service is increasing,The aging of MFD facilities require maintenance and replacement of large cost items such as HVAC and energy efficiency.,Financial Risk,"Relative to mission delivery, degradation of existing facilities will have a much larger expense in total replacement of some facilities versus ongoing maintenance and periodic upgrades."
1000,300,420430,PERSONNEL TRAINING,0,Fire,1.0,215640.0,6259.0,0,0.0,0,0.0,221899.0,No,0.19008197423152,"This program is inclusive of the Training Division (Training Officer) and the support materials associated with the function of this division. Line item expenses include salaries, supplies, vehicle maintenance, dues and subscriptions, training and travel.",0,No,0,0,Yes,Granting Agency,ISO ratings affect all citizens of the City of Missoula through their insurance rates. ISO has specific training requirements to maintain or improve our current ISO rating.,High,High level of disruption if this program were discontinued,No,0,0,0,0,0,The demand for additional services within the Training Division and continual evolution to tactics and new equipment that provides more efficient and better outcomes to emergencies. Keeping current on the evolution of new threats and risk reduction.,Changes in Program Requirements,"Inability to receive required training creates a substantial risk of developing poor performance, resulting in risk to the community as well as the health and well being of the fire department staff. With increase to calls for service, continuity of complete training evolutions is suffering which can ultimately lead to poorly, inadequately trained personnel. The results would be costly to the community in term of poor outcomes in emergent situations."
1000,300,420440,FIRE PREVENTION,0,Fire,5.0,999218.0,22904.0,0,0.0,0,0.0,1022122.0,Yes,0.316983686878866,"This program is inclusive of our Fire Prevention Bureau. It funds the salaries and benefits of our Fire Marshal, Assistant Fire Marshal, and 3 Fire Inspectors. Associated line items are in support of their mission. These include supplies, vehicle maintenance, dues and subscriptions, annual fireworks campaign advertising, fire investigation software, training and travel.",0,Yes,Required by State Law,"MCA 50-61-102 addresses Code Enforcement, MCA 50-63-202 Investigation of Fires, and MCA 50-62-101 Inspections. State law gives authority to local jurisdictions to ensure fire and life safety in public buildings. State law also requires that all fires be investigated.",Yes,Required by State Law,State law provides the framework for the minimum levels of service that are required. The same holds true for the inspections and approval of building/subdivision plans reviews that are outlined in the adopted Fire Code and referenced Standards.,High,High level of disruption if this program were discontinued,Yes,Community Design and Livability,"Complete the cost of services study, a necessary precursor to a fiscal sustainability analysis of growth and development impacts.",0,0,Demand for service is increasing,Demand is both increasing and evolving. Steady and increased community growth places a high level of demand on this program for timely review and approval of building plans and subdivision reviews. On-going business of routine and mandated business/building inspections is being deferred and delayed by greater work loads. New development and building strategies require a higher degree of involvement in the review process to ensure compliance. Efficiencies in one City department does not reflect across the board in all regulatory City agencies/departments.,Changes in the Operating Environment,Loss of funding or changes in State law would impact public safety and well-being as these are directly impacted by the continuity of this program.
1000,300,420455,EMS,0,Fire,1.0,206324.0,59973.0,0,0.0,0,0.0,266297.0,Yes,0.209979834545639,"This program is inclusive of the Emergency Medical Services provision of the fire department. The EMS Coordinator is the staff member responsible for this program. The items covered with this program are salaries and benefits of the EMS Coordinator, medical supplies, vehicle maintenance, EMS certifications for all department members, dues and subscriptions, defibrillator maintenance, medical director, training and travel.",0,No,0,0,Yes,Required by Federal Law,The State of Montana and National Registry of Emergency Medical Technicians are the certifying organizations for the licensure of our employees.,High,High level of disruption if this program were discontinued,Yes,"Community Safety, Health and Well-Being","Evaluate Emergency Medical Service (EMS) study and develop an implementation strategy, as it dovetails with the Master Fire Plan.",Provide for additional Alternate Response Unit capacity as an interim step to manage the level of service.,0,Demand for service is increasing,Demand is both increasing and evolving. The need for increased training not only within MFD but with cooperating agencies MESI and MRFD to facilitate better outcomes to calls for emergency medical services. Lifesaving techniques and skills are constantly evolving to meet both science based improvements and new community risks i.e. drug related emergencies and pandemic response.,Changes in the Operating Environment,"Without funding for this program, EMS supplies required for lifesaving interventions would go away. External costs would increase by having to seek training and recertification support from vendors outside MFD."
1000,300,420460,OPERATIONS,0,Fire,80.0,14355807.0,351110.0,0,0.0,0,0.0,14706917.0,Yes,0.181580680709628,"This program is the greatest asset to the fire department's existence. It includes all facets of emergency response. The budget includes salaries and benefits, fuel, physicals, apparatus maintenance supplies and repairs, supplies such as PPE, SCBAs, radios, gas monitors, fire hose, absorbents, foam, rescue supplies, training and travel for Operations personnel and our paramedic training program.",0,Yes,Required by State Law,"MCA 7-33-4101 requires that city of ""Class I"" status shall provide for fire protection.",Yes,Required by State Law,MCA 7-33-4127 states that firefighters of a Class I city must be fully compensated and cannot be volunteer.,High,High level of disruption if this program were discontinued,Yes,"Community Safety, Health and Well-Being",Provide for additional Alternate Response Unit capacity as an interim step to manage the level of service.,0,0,Demand for service is increasing,The increase in demand for calls of service places stress on timely delivery of emergency response. The demand for additional services is overdue.,Changes in the Operating Environment,"As property tax revenues decline relative to the expense of city services, new funding mechanisms or reduction of the cost of other city services is required."
1000,300,420465,HEALTH AND WELLNESS,0,Fire,1.0,199061.0,1000.0,0,0.0,0,0.0,200061.0,No,0.1977446878702,This program is inclusive of the manager of the Mobile Support Team (MST) program who is also charged with over site of department members health and well-being. The program includes expenses relative to salaries and benefits and vehicle maintenance.,0,No,0,0,No,0,0,High,High level of disruption if this program were discontinued,Yes,"Community Safety, Health and Well-Being",Continue support of the Mobile Support Team.,Continue support for the Missoula Crisis Intervention Team.,0,Demand for service is increasing,"Demand is both increasing and evolving. As firefighter health and wellness continues to evolve as a priority internally, the work of the program ensures the heath and well-being of the emergency providers is being met. Demand of services relative to the MST continues to grow and evolve.",Changes in the Operating Environment,Elimination of the program may lead to immediate public safety risk to firefighters and the public. Elimination may lead to inability of the City to attain it's strategic goals.
1000,300,420490,MAINTENANCE,0,Fire,3.0,576743.0,10539.0,0,0.0,0,0.0,587282.0,No,0.192631478574177,"This program is inclusive of the fire department maintenance division which includes the Master Mechanic and 2 Assistant Mechanics. They provide fleet and facility maintenance and repair. Costs in this program include salaries and benefits, vehicle maintenance, tools and equipment, training and travel.",0,No,0,0,Yes,Granting Agency,Our aerial apparatus must pass a UL certification every 5 years. Our pumpers must pass an annual pump test to NFPA standards.,High,High level of disruption if this program were discontinued,Yes,Organizational Excellence and Resilience,"Coordinate the planning and execution of necessary facility improvement projects to support operations and service delivery for Police, Public Works & Mobility, Parks and Recreation and Fire",0,0,Demand for service is evolving,"The trend is also increasing. As equipment and facilities age, the incidence of more costly and time consuming repairs and maintenance rise concurrently. Newer equipment required technical training and advancement of skills relative to the evolution of the products.",Financial Risk,The mission of the fire department is dependent upon the reliance of properly functioning equipment and apparatus.
